id,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15
8834322732, '', '', 1.0, 1.0, 479.0, -1.0, '', '', '', '', '', '', '', -1, '', u'98116', 475.94706, -122.387348, '', ''
5325675569, '', '', 3.0, 1.75, 2110.0, 11325.0, '', '', '', '', '', '', '', -1, '', u'98040', 475.40216999999996, -122.215504, '', ''
9400783278, '', '', 5.0, 2.0, 2200.0, 3000.0, '', '', '', '', '', '', '', -1, '', u'98118', 475.6272, -122.283142, '', ''
1092312123, '', '', 3.0, 2.0, 1170.0, 11761.0, '', '', '', '', '', '', '', -1, '', u'98072', 477.60355, -122.146233, '', ''
7811468161, '', '', 3.0, 2.0, 980.0, 4545.0, '', '', '', '', '', '', '', -1, '', u'98166', 474.70538, -122.352401, '', ''
6110104841, '', '', 4.0, 2.5, 2180.0, 26571.0, '', '', '', '', '', '', '', -1, '', u'98059', 474.72502, -122.069472, '', ''
4850604430, '', '', 3.0, 2.0, 1540.0, 4878.0, '', '', '', '', '', '', '', -1, '', u'98136', 475.48449, -122.394195, '', ''
1470626066, '', '', 3.0, 2.0, 1690.0, 10001.0, '', '', '', '', '', '', '', -1, '', u'98028', 477.35488, -122.24782, '', ''
848840784, '', '', 3.0, 2.25, 2380.0, 4356.0, '', '', '', '', '', '', '', -1, '', u'98112', 476.41175, -122.302319, '', ''
3505370478, '', '', 4.0, 3.0, 3280.0, 13982.0, '', '', '', '', '', '', '', -1, '', u'98006', 475.41330000000005, -122.131116, '', ''
6286376242, '', '', 4.0, 4.0, 5191.0, 11325.0, '', '', '', '', '', '', '', -1, '', u'98004', 475.83401000000003, -122.197588, '', ''
3027365130, '', '', 5.0, 6.0, 4840.0, 13503.0, '', '', '', '', '', '', '', -1, '', u'98040', 475.76191, -122.202922, '', ''
5186749602, '', '', 3.0, 2.0, 1543.0, 18002.0, '', '', '', '', '', '', '', -1, '', u'98136', 475.41555000000005, -122.386786, '', ''
6774731733, '', '', 4.0, 2.5, 1900.0, 8276.0, '', '', '', '', '', '', '', -1, '', u'98022', 472.08869, -122.003171, '', ''
2630177361, '', '', 3.0, 1.0, 1130.0, 7840.0, '', '', '', '', '', '', '', -1, '', u'98023', 473.31037000000003, -122.34233, '', ''
9254352038, '', '', 5.0, 5.0, 4073.0, 5998.0, '', '', '', '', '', '', '', -1, '', u'98199', 476.50903999999997, -122.394621, '', ''
7992493265, '', '', 3.0, 4.0, 5536.0, 494419.0, '', '', '', '', '', '', '', -1, '', u'98065', 475.34680000000003, -121.75504, '', ''
8704808413, '', '', 4.0, 3.0, 3544.0, 5000.0, '', '', '', '', '', '', '', -1, '', u'98029', 475.39912000000004, -121.997979, '', ''
1022943194, '', '', 3.0, 3.0, 1640.0, 1640.0, '', '', '', '', '', '', '', -1, '', u'98106', 475.60178, -122.362478, '', ''
7255002092, '', '', 3.0, 3.0, 1280.0, 1406.0, '', '', '', '', '', '', '', -1, '', u'98106', 475.26029, -122.3605, '', ''
6033949139, '', '', 3.0, 3.0, 2780.0, 105850.0, '', '', '', '', '', '', '', -1, '', u'98024', 475.58025999999995, -121.869615, '', ''
2168878747, '', '', 4.0, 3.0, 3240.0, 7920.0, '', '', '', '', '', '', '', -1, '', u'98006', 475.48672000000005, -122.190061, '', ''
8837022046, '', '', 2.0, 1.0, 1530.0, 4120.0, '', '', '', '', '', '', '', -1, '', u'98057', 474.85748, -122.199694, '', ''
4524335672, '', '', 4.0, 2.0, 1520.0, 9583.0, '', '', '', '', '', '', '', -1, '', u'98002', 472.75627, -122.205821, '', ''
1966003684, '', '', 4.0, 2.0, 2190.0, 38502.0, '', '', '', '', '', '', '', -1, '', u'98027', 474.54463, -121.994567, '', ''
271547330, '', '', 3.0, 4.0, 1996.0, -1.0, '', '', '', '', '', '', '', -1, '', u'98006', 475.71727000000004, -122.165394, '', ''
2937348993, '', '', 3.0, 2.0, 1600.0, 7649.0, '', '', '', '', '', '', '', -1, '', u'98008', 476.27180000000004, -122.118545, '', ''
7798062792, '', '', 3.0, 3.0, 1310.0, 1267.0, '', '', '', '', '', '', '', -1, '', u'98103', 476.53045, -122.354563, '', ''
5902943870, '', '', 3.0, 2.0, 1320.0, 2400.0, '', '', '', '', '', '', '', -1, '', u'98117', 476.87446, -122.365218, '', ''
4087109309, '', '', 2.0, 2.0, 1188.0, 940.0, '', '', '', '', '', '', '', -1, '', u'98122', 476.01433, -122.299258, '', ''
6140921633, '', '', 1.0, 1.0, 838.0, -1.0, '', '', '', '', '', '', '', -1, '', u'98109', 476.39476, -122.345286, '', ''
2700756143, '', '', 2.0, 1.75, 1153.0, -1.0, '', '', '', '', '', '', '', -1, '', u'98055', 474.64610999999996, -122.197647, '', ''
7380537234, '', '', 3.0, 1.0, 1090.0, 9355.0, '', '', '', '', '', '', '', -1, '', u'98155', 477.41222999999997, -122.290828, '', ''
5229063185, '', '', 3.0, 1.0, 1600.0, 5161.0, '', '', '', '', '', '', '', -1, '', u'98199', 476.50653, -122.396515, '', ''
4557982260, '', '', 6.0, 2.75, 2550.0, 15246.0, '', '', '', '', '', '', '', -1, '', u'98031', 473.89842, -122.207791, '', ''
